"Date & Time","Comment","Sample ID","Sample Type","pH","PO2","PCO2","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","Osm","Pre-Dilution Multiplier","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","pH @ Temp","PO2 @ Temp","PCO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","pH / Gas Flow Time","Chemistry Flow Time","Chemistry Dilution Ratio","Tray Location","Chemistry Cartridge Lot Number","Chemistry Card Lot Number","Gas Cartridge Lot Number","Gas Card Lot Number","Time In Tray","Sample Time","Operator",
"12/1/2023  2:15:24 PM",,"EXP058","Chemistry only",,,,"4.21","0.01","2.54","0.00","0.25","179.6","5.86","1.71",,"1.00",,"F powd dmem unfilt",,"37.0","0.0","20.9",,,,,,,,"6.73","1:1",,"23293018","23268020","23237041","23216003",,"12/1/2023  2:15:24 PM","novaservice",
"12/1/2023  2:39:25 PM",,"EXP058","Chemistry only",,,,"4.31","0.00","3.77","0.00","0.22","161.2","5.49","1.46",,"1.00","2","F powd dmem unfilt",,"37.0","0.0","20.9",,,,,,,,"6.75","1:1",,"23293018","23268020","23237041","23216003",,"12/1/2023  2:39:25 PM","novaservice",
"12/1/2023  3:51:55 PM",,"EXP058","Chemistry only",,,,"4.31","0.00","4.79","0.00","0.24","166.3","5.55","1.52",,"1.00","3","F powd dmem unfilt",,"37.0","0.0","20.9",,,,,,,,"6.71","1:1",,"23293018","23268020","23237041","23216003",,"12/1/2023  3:51:55 PM","novaservice",
"12/4/2023  12:08:17 PM",,"FLSTD231101","Chemistry only",,,,"3.86","2.33","4.16","0.00","2.27","168.9","4.57","0.09",,"1.00","FRIDGE",,,"37.0","0.0","20.9",,,,,,,,"6.57","1:1","15","23293018","23268020","23237041","23216003","0:45","12/4/2023  12:08:17 PM","novaservice",
"12/4/2023  12:11:33 PM",,"FLSTD231101","Chemistry only",,,,"4.14","2.33","4.22","0.01","1.96","156.9","4.35","0.07",,"1.00","FREEZER",,,"37.0","0.0","20.9",,,,,,,,"6.67","1:1","23","23293018","23268020","23237041","23216003","0:10","12/4/2023  12:11:33 PM","novaservice",
"12/4/2023  6:41:30 PM",,"EXP058","Chemistry only",,,,"1.80","0.34","4.72","0.21","5.31","181.6","7.05","1.62",,"1.00","FREEZER","POST AMMON",,"37.0","0.0","20.9",,,,,,,,"6.40","1:1",,"23293018","23268020","23237041","23216003",,"12/4/2023  6:41:30 PM","novaservice",
"12/4/2023  6:44:06 PM",,"EXP058","Chemistry only",,,,"1.69","0.33","4.36","5.55","1.46","263.1","6.36","1.02",,"1.00","FREEZER","POST LAC",,"37.0","0.0","20.9",,,,,,,,"6.54","1:1",,"23293018","23268020","23237041","23216003",,"12/4/2023  6:44:06 PM","novaservice",
"12/5/2023  4:03:20 PM",,"EXP50-1","Chemistry only",,,,"1.69","0.72","3.85","0.44","1.32","158.1","5.34","0.55",,"1.00",,"A17",,"37.0","0.0","20.9",,,,,,,,"6.88","1:1","A1","23293018","23268020","23237041","23216003","6:11","12/5/2023  4:03:20 PM","novaservice",
"12/5/2023  4:05:38 PM",,"EXP50-2","Chemistry only",,,,"1.61","0.62","4.21","0.73","1.53","167.8","5.58","0.54",,"1.00",,"A17",,"37.0","0.0","20.9",,,,,,,,"6.75","1:1","A2","23293018","23268020","23237041","23216003","7:58","12/5/2023  4:05:38 PM","novaservice",
"12/5/2023  4:07:41 PM",,"EXP50-3","Chemistry only",,,,"1.40","0.79","4.56","1.12","2.01","198.7","6.53","0.66",,"1.00",,"A17",,"37.0","0.0","20.9",,,,,,,,"6.88","1:1","A3","23293018","23268020","23237041","23216003","10:00","12/5/2023  4:07:41 PM","novaservice",
