"Date & Time","Comment","Sample ID","Sample Type","pH","PO2","PCO2","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","Osm","Pre-Dilution Multiplier","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","pH @ Temp","PO2 @ Temp","PCO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","pH / Gas Flow Time","Chemistry Flow Time","Chemistry Dilution Ratio","Tray Location","Chemistry Cartridge Lot Number","Chemistry Card Lot Number","Gas Cartridge Lot Number","Gas Card Lot Number","Time In Tray","Sample Time","Operator",
"11/29/2023  1:20:22 PM",,"Testpbs-95","Chemistry only",,,,,,,,,,,,,"1.00","D10","FRESH",,"37.0","0.0","20.9",,,,,,,,,"1:1",,"23293018","23268020","23237041","23216003",,"11/29/2023  1:20:22 PM","novaservice",
"11/29/2023  4:33:46 PM",,"Testpbs","Chemistry only",,,,"0.01","0.00","0.00","0.00","0.15","108.4","2.95","0.07",,"1.00","D10",,,"37.0","0.0","20.9",,,,,,,,"6.53","1:1",,"23293018","23268020","23237041","23216003",,"11/29/2023  4:33:46 PM","novaservice",
"11/30/2023  12:00:29 PM",,"flstd231101","Chemistry only",,,,"3.70","2.29","4.09","0.00","2.19","164.2","4.45","0.10",,"1.00","FRIDGE",,,"37.0","0.0","20.9",,,,,,,,"6.60","1:1","1","23293018","23268020","23237041","23216003","0:42","11/30/2023  12:00:29 PM","novaservice",
"11/30/2023  12:03:32 PM",,"flstd231101","Chemistry only",,,,"4.02","2.33","4.24","0.00","1.94","156.2","4.32","0.08",,"1.00","FREEZER",,,"37.0","0.0","20.9",,,,,,,,"6.60","1:1","8","23293018","23268020","23237041","23216003","0:14","11/30/2023  12:03:32 PM","novaservice",
"11/30/2023  2:29:44 PM",,"EXP057","Chemistry only",,,,"2.50","0.22","4.32","0.18","1.34","161.4","6.10","1.56",,"1.00","7","B",,"37.0","0.0","20.9",,,,,,,,"6.50","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:29:44 PM","novaservice",
"11/30/2023  2:33:38 PM",,"EXP057","Chemistry only",,,,"2.50","0.22","4.30","0.20","1.32","157.7","5.98","1.51",,"1.00","8","B",,"37.0","0.0","20.9",,,,,,,,"6.57","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:33:38 PM","novaservice",
"11/30/2023  2:35:49 PM",,"EXP057","Chemistry only",,,,"2.53","0.23","4.34","0.20","1.33","159.2","6.05","1.52",,"1.00","9","B",,"37.0","0.0","20.9",,,,,,,,"6.44","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:35:49 PM","novaservice",
"11/30/2023  2:38:31 PM",,"EXP057","Chemistry only",,,,"2.47","0.23","4.25","0.22","1.31","155.8","6.00","1.49",,"1.00","7","A",,"37.0","0.0","20.9",,,,,,,,"6.65","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:38:31 PM","novaservice",
"11/30/2023  2:41:03 PM",,"EXP057","Chemistry only",,,,"2.49","0.23","4.27","0.22","1.32","157.1","6.03","1.51",,"1.00","8","A",,"37.0","0.0","20.9",,,,,,,,"6.43","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:41:03 PM","novaservice",
"11/30/2023  2:43:22 PM",,"EXP057","Chemistry only",,,,"2.50","0.24","4.29","0.21","1.31","157.1","6.07","1.50",,"1.00","9","A",,"37.0","0.0","20.9",,,,,,,,"6.48","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:43:22 PM","novaservice",
"11/30/2023  2:45:43 PM",,"EXP057","Chemistry only",,,,"2.81","0.10","4.32","0.20","1.05","154.9","6.03","1.49",,"1.00",,"FRESH",,"37.0","0.0","20.9",,,,,,,,"6.42","1:1",,"23293018","23268020","23237041","23216003",,"11/30/2023  2:45:43 PM","novaservice",
"11/30/2023  3:45:43 PM",,"EXP057","Chemistry only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/30/2023  4:45:43 PM",,"EXP057","Chemistry only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11/30/2023  5:45:43 PM",,"EXP057","Chemistry only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
