"Date & Time","Comment","Sample ID","Sample Type","pH","PO2","PCO2","Gln","Glu","Gluc","Lac","NH4+","Na+","K+","Ca++","Osm","Pre-Dilution Multiplier","Vessel ID","Batch ID","Cell Type","Vessel Temperature (°C)","Vessel Pressure (psi)","Sparging O2%","pH @ Temp","PO2 @ Temp","PCO2 @ Temp","O2 Saturation","CO2 Saturation","HCO3","pH / Gas Flow Time","Chemistry Flow Time","Chemistry Dilution Ratio","Tray Location","Chemistry Cartridge Lot Number","Chemistry Card Lot Number","Gas Cartridge Lot Number","Gas Card Lot Number","Time In Tray","Sample Time","Operator",
"1/3/2024  1:00:46 PM",,"flstd231101","Chemistry only","","","","3.61","2.24","4.18","0.00","2.33","156.8","4.34","0.05","","1.00","FRIDGE_NEWCARTRIDGE","","","37.0","0.0","20.9","","","","","","","","6.86","1:1","15","23293018","23268020","23237041","23216003","0:05","1/3/2024  1:00:46 PM","novaservice",
"1/3/2024  1:05:56 PM",,"flstd231101","Chemistry only","","","","3.96","2.23","4.19","0.00","1.95","149.2","4.20","0.05","","1.00","FREEZER","","","37.0","0.0","20.9","","","","","","","","6.70","1:1","20","23293018","23268020","23237041","23216003","0:23","1/3/2024  1:05:56 PM","novaservice",
"1/3/2024  1:09:43 PM",,"flstd231101","Chemistry only","","","","0.00","3.42","3.97","0.00","8.69","152.8","4.51","0.05","","1.00","FREEZER_20DAYS_RT","","","37.0","0.0","20.9","","","","","","","","6.59","1:1","3","23293018","23268020","23237041","23216003","0:11","1/3/2024  1:09:43 PM","novaservice",
"1/3/2024  1:49:11 PM",,"flstd240103","Chemistry only","","","","4.06","2.25","1.06","0.00","2.04","150.5","4.23","0.05","","1.00","FRESH","","","37.0","0.0","20.9","","","","","","","","6.66","1:1","11","23293018","23268020","23237041","23216003","0:39","1/3/2024  1:49:11 PM","novaservice",
"1/3/2024  4:03:13 PM",,"flstd231101","Chemistry only","","","","3.38","2.37","4.04","0.00","2.27","148.7","4.19","0.07","","1.00","FRIDGE_NEWCARD","","","37.0","0.0","20.9","","","","","","","","6.74","1:1","15","23293018","23268020","23237041","23216003","0:31","1/3/2024  4:03:13 PM","novaservice",
"1/3/2024  4:14:28 PM",,"flstd231101","Chemistry only","","","","3.83","2.39","4.12","0.00","1.97","156.4","4.36","0.07","","1.00","FREEZER_NEWCARD","","","37.0","0.0","20.9","","","","","","","","7.01","1:1","20","23293018","23268020","23237041","23216003","0:16","1/3/2024  4:14:28 PM","novaservice",
"1/3/2024  4:23:30 PM",,"flstd231101","Chemistry only","","","","3.72","2.33","3.99","0.00","1.91","152.9","4.24","0.08","","1.00","FREEZER_NEWCARD","","","37.0","0.0","20.9","","","","","","","","6.98","1:1","1","23293018","23268020","23237041","23216003","0:18","1/3/2024  4:23:30 PM","novaservice",
"1/3/2024  4:35:40 PM",,"flstd231101","Chemistry only","","","","3.76","2.38","4.09","0.00","1.91","153.6","4.24","0.08","","1.00","FREEZER","","","37.0","0.0","20.9","","","","","","","","6.59","1:1","A1","23293018","23268020","23237041","23216003","1:02","1/3/2024  4:35:40 PM","novaservice",
"1/3/2024  4:37:42 PM",,"flstd231101","Chemistry only","","","","3.37","2.38","4.03","0.00","2.25","152.4","4.23","0.06","","1.00","FRIDGE","","","37.0","0.0","20.9","","","","","","","","6.65","1:1","A2","23293018","23268020","23237041","23216003","2:57","1/3/2024  4:37:42 PM","novaservice",
"1/3/2024  4:39:43 PM",,"flstd240103","Chemistry only","","","","3.78","2.43","3.88","0.00","2.00","153.4","4.26","0.05","","1.00","2H FRESH","","","37.0","0.0","20.9","","","","","","","","6.82","1:1","A3","23293018","23268020","23237041","23216003","4:45","1/3/2024  4:39:43 PM","novaservice",
"1/3/2024  4:57:40 PM",,"CC1-185","Chemistry only","","","","0.73","0.44","1.48","2.24","2.37","150.8","5.88","1.40","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.61","1:1","A1","23293018","23268020","23237041","23216003","6:19","1/3/2024  4:57:40 PM","novaservice",
"1/3/2024  4:59:42 PM",,"CC1-186","Chemistry only","","","","0.60","0.56","1.14","2.53","2.64","151.7","6.07","1.36","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.79","1:1","A2","23293018","23268020","23237041","23216003","7:52","1/3/2024  4:59:42 PM","novaservice",
"1/3/2024  5:01:44 PM",,"CC1-187","Chemistry only","","","","0.62","0.56","1.18","2.48","2.59","151.3","6.02","1.38","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.63","1:1","A3","23293018","23268020","23237041","23216003","9:54","1/3/2024  5:01:44 PM","novaservice",
"1/3/2024  5:03:55 PM",,"CC1-188","Chemistry only","","","","0.70","0.52","1.45","2.44","2.48","155.1","6.10","1.43","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.76","1:1","B1","23293018","23268020","23237041","23216003","12:05","1/3/2024  5:03:55 PM","novaservice",
"1/3/2024  5:05:57 PM",,"CC1-189","Chemistry only","","","","0.60","0.54","1.08","2.55","2.61","153.2","6.11","1.38","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.68","1:1","B2","23293018","23268020","23237041","23216003","14:06","1/3/2024  5:05:57 PM","novaservice",
"1/3/2024  5:08:12 PM",,"CC1-190","Chemistry only","","","","0.63","0.55","1.22","2.49","2.58","153.5","6.13","1.42","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.76","1:1","B3","23293018","23268020","23237041","23216003","16:21","1/3/2024  5:08:12 PM","novaservice",
"1/3/2024  5:10:15 PM",,"CC1-191","Chemistry only","","","","0.63","0.54","1.46","2.28","2.30","151.2","5.96","1.36","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.69","1:1","C1","23293018","23268020","23237041","23216003","18:24","1/3/2024  5:10:15 PM","novaservice",
"1/3/2024  5:12:18 PM",,"CC1-192","Chemistry only","","","","0.53","0.61","1.13","2.50","2.58","153.2","6.13","1.36","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.76","1:1","C2","23293018","23268020","23237041","23216003","20:26","1/3/2024  5:12:18 PM","novaservice",
"1/3/2024  5:14:30 PM",,"CC1-193","Chemistry only","","","","0.58","0.61","1.26","2.42","2.55","152.6","6.09","1.37","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.80","1:1","C3","23293018","23268020","23237041","23216003","22:38","1/3/2024  5:14:30 PM","novaservice",
"1/3/2024  5:16:32 PM",,"CC1-194","Chemistry only","","","","0.64","0.54","1.47","2.35","2.57","155.2","6.10","1.43","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.83","1:1","D1","23293018","23268020","23237041","23216003","24:40","1/3/2024  5:16:32 PM","novaservice",
"1/3/2024  5:21:27 PM",,"CC1-195","Chemistry only","","","","0.58","0.56","1.11","2.50","2.61","152.7","6.09","1.38","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.59","1:1","D2","23293018","23268020","23237041","23216003","29:34","1/3/2024  5:21:27 PM","novaservice",
"1/3/2024  5:23:29 PM",,"CC1-196","Chemistry only","","","","0.53","0.61","1.10","2.51","2.69","154.1","6.18","1.41","","1.00","","","","37.0","0.0","20.9","","","","","","","","6.61","1:1","D3","23293018","23268020","23237041","23216003","31:36","1/3/2024  5:23:29 PM","novaservice",
